internal_id,Award ID,Recipient Name,Award Amount,Awarding Agency,Start Date,awarding_agency_id,agency_slug,generated_internal_id
92475723,TVI-631-000182,CHICASAW COMMUNITY BANK,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-631-000182_086
92475722,TVI-405-000183,CHICKASAW COMMUNITY BANK,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-405-000183_086
92475721,TVI-401-000175,TURTLE MOUNTAIN STATE BANK,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-401-000175_086
92475715,TVI-064-000184,NATIVE AMERICAN BANK,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-064-000184_086
92475714,TVI-064-000173,NATIVE AMERICAN BANK,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-064-000173_086
92475712,TVI-044-000181,BANK OF AMERICA N.A.,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-044-000181_086
92475711,TVI-022-000174,FIRST NATIONAL BANK OF ALASKA,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-022-000174_086
92475707,TVI-022-000139,FIRST NATIONAL BANK ALASKA,,Department of Housing and Urban Development,,882,department-of-housing-and-urban-development,ASST_NON_TVI-022-000139_086
92475683,TSMC2,TSMC ARIZONA CORP,,Department of Commerce,,183,department-of-commerce,ASST_NON_TSMC2_013
92475682,TSMC1,TSMC ARIZONA CORP,,Department of Commerce,,183,department-of-commerce,ASST_NON_TSMC1_013
92078646,SKHYNIX1,SK HYNIX SEMICONDUCTOR WEST LA,,Department of Commerce,,183,department-of-commerce,ASST_NON_SKHYNIX1_013
172771904,SFHDL0046954876,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046954876_012
172771903,SFHDL0046952700,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046952700_012
172771902,SFHDL0046952522,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046952522_012
172771901,SFHDL0046951921,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046951921_012
172771900,SFHDL0046951015,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046951015_012
172771899,SFHDL0046950391,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046950391_012
172771898,SFHDL0046949519,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046949519_012
172771897,SFHDL0046949386,REDACTED DUE TO PII,,Department of Agriculture,,95,department-of-agriculture,ASST_NON_SFHDL0046949386_012
